"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"R20","8k2","Top","RES_0603","30.0000","0.0000","270","Resistor SMD 0603"
"R19","100R","Top","RES_0603","28.0000","4.2500","90","Resistor SMD 0603"
"R18","1k","Top","RES_0603","21.2500","-6.0000","180","Resistor SMD 0603"
"R17","100R","Top","RES_0603","24.5000","10.2500","0","Resistor SMD 0603"
"R16","100R","Top","RES_0603","21.2500","-4.2500","180","Resistor SMD 0603"
"R15","100R","Top","RES_0603","21.5000","2.7500","0","Resistor SMD 0603"
"R14","100R","Top","RES_0603","20.5000","10.2500","0","Resistor SMD 0603"
"R13","100R","Top","RES_0603","16.5000","-5.7500","180","Resistor SMD 0603"
"R12","100R","Top","RES_0603","12.5000","-5.7500","180","Resistor SMD 0603"
"R11","100R","Top","RES_0603","16.0000","2.7500","180","Resistor SMD 0603"
"R10","100R","Top","RES_0603","13.0000","2.7500","180","Resistor SMD 0603"
"R9","100R","Top","RES_0603","16.5000","10.2500","0","Resistor SMD 0603"
"R8","8k2","Top","RES_0603","10.0000","7.5000","270","Resistor SMD 0603"
"R7","100R","Top","RES_0603","12.5000","10.2500","0","Resistor SMD 0603"
"R6","1k","Top","RES_0603","7.5000","-2.2500","180","Resistor SMD 0603"
"R5","1k","Top","RES_0603","6.0000","3.5000","90","Resistor SMD 0603"
"R4","1M","Top","RES_0603","7.7500","3.5000","90","Resistor SMD 0603"
"R3","1M","Top","RES_0603","13.0000","4.2500","180","Resistor SMD 0603"
"R2","100R","Top","RES_0603","3.7500","-6.2500","0","Resistor SMD 0603"
"R1","100R","Top","RES_0603","9.2500","-5.7500","0","Resistor SMD 0603"
"Q12","MMBT5401LT1G","Top","ONSC-SOT-23-3-318-08_V","24.5000","7.7500","90","High Voltage Transistor, PNP Silicon, 3-Pin SOT-23, Pb-Free, Tape and Reel"
"Q11","MMBT5401LT1G","Top","ONSC-SOT-23-3-318-08_V","24.5000","0.2500","90","High Voltage Transistor, PNP Silicon, 3-Pin SOT-23, Pb-Free, Tape and Reel"
"Q10","MMBT5401LT1G","Top","ONSC-SOT-23-3-318-08_V","20.5000","7.7500","90","High Voltage Transistor, PNP Silicon, 3-Pin SOT-23, Pb-Free, Tape and Reel"
"Q9","MMBT5551LT1","Top","ONSC-SOT-23-3-318-08_V","20.5000","0.2500","90","High Voltage Transistor, NPN Silicon, 3-Pin SOT-23, Tape and Reel"
"Q8","MMBT5551LT1","Top","ONSC-SOT-23-3-318-08_V","16.5000","-3.2500","270","High Voltage Transistor, NPN Silicon, 3-Pin SOT-23, Tape and Reel"
"Q7","MMBT5551LT1","Top","ONSC-SOT-23-3-318-08_V","12.5000","-3.2500","270","High Voltage Transistor, NPN Silicon, 3-Pin SOT-23, Tape and Reel"
"Q6","MMBT5401LT1G","Top","ONSC-SOT-23-3-318-08_V","16.5000","0.2500","90","High Voltage Transistor, PNP Silicon, 3-Pin SOT-23, Pb-Free, Tape and Reel"
"Q5","MMBT5401LT1G","Top","ONSC-SOT-23-3-318-08_V","12.5000","0.2500","90","High Voltage Transistor, PNP Silicon, 3-Pin SOT-23, Pb-Free, Tape and Reel"
"Q4","MMBT5401LT1G","Top","ONSC-SOT-23-3-318-08_V","16.5000","7.7500","90","High Voltage Transistor, PNP Silicon, 3-Pin SOT-23, Pb-Free, Tape and Reel"
"Q3","MMBT5401LT1G","Top","ONSC-SOT-23-3-318-08_V","12.5000","7.7500","90","High Voltage Transistor, PNP Silicon, 3-Pin SOT-23, Pb-Free, Tape and Reel"
"Q2","2SK208","Top","FP-318BM-IPC_C","7.5000","0.2500","90","JFET N-CH 35V 350MW SOT23"
"Q1","2SK208","Top","FP-318BM-IPC_C","7.5000","7.7500","90","JFET N-CH 35V 350MW SOT23"
"D4","PESD0402-140","Top","D_0402","32.0000","0.0000","270","Diode TVS / ESD 0402"
"D3","PESD0402-140","Top","D_0402","3.0000","0.0000","270","Diode TVS / ESD 0402"
"D2","1N5819WS","Top","SOD-323","11.0000","-8.0000","180","Diode Schottky SMD SOD-323"
"D1","PESD0402-140","Top","D_0402","11.0000","-9.5000","0","Diode TVS / ESD 0402"
"C14","100n","Top","CAP_0402","26.5000","10.7500","90","Capacitor SMD 0402 50V"
"C13","100n","Top","CAP_0402","22.5000","10.7500","90","Capacitor SMD 0402 50V"
"C12","100n","Top","CAP_0402","18.5000","10.7500","90","Capacitor SMD 0402 50V"
"C11","100n","Top","CAP_0402","14.5000","10.7500","90","Capacitor SMD 0402 50V"
"C10","100n","Top","CAP_0402","7.5000","10.0000","0","Capacitor SMD 0402 50V"
"C9","100u","Top","CAP_0805","28.0000","0.5000","90","Capacitor SMD 0805 6V3"
"C8","100u","Top","CAP_0805","24.5000","-4.7500","270","Capacitor SMD 0805 6V3"
"C7","10n","Top","CAP_0603","18.7500","2.7500","180","Capacitor SMD 0603 50V"
"C6","100u","Top","CAP_0805","21.5000","4.7500","180","Capacitor SMD 0805 6V3"
"C5","10n","Top","CAP_0603","21.2500","-2.5000","0","Capacitor SMD 0603 50V"
"C4","10n","Top","CAP_0603","10.0000","4.2500","0","Capacitor SMD 0603 50V"
"C3","100p","Top","CAP_0603","6.0000","-5.5000","270","Capacitor SMD 0603 50V"
"C2","100u","Top","CAP_0805","28.2500","8.7500","270","Capacitor SMD 0805 6V3"
"C1","100u","Top","CAP_0805","17.2500","-9.5000","270","Capacitor SMD 0805 6V3"
